player,image_id,time_to_respond,response
,0,1.700101375579834,1
,1,2.137934684753418,0
,2,2.773122549057007,0
,3,1.521960735321045,0
,4,1.4257941246032717,0
,5,1.8434116840362549,0
,6,1.821150302886963,1
,7,1.347144365310669,1
,8,1.6266396045684814,0
,9,2.165085792541504,0
,10,2.320220232009888,0
,0,2.062887191772461,1
,1,1.8029210567474363,0
,2,1.52577543258667,0
,3,1.2183125019073486,0
,4,1.2957966327667236,0
,5,1.2559912204742432,0
,6,1.08607816696167,0
,7,1.3765485286712646,1
,8,1.067373514175415,0
,9,0.9753952026367188,0
,10,1.4987246990203855,0
,0,1.4289746284484863,1
,1,2.6507697105407715,0
,2,1.5871453285217283,0
,3,1.4897561073303225,0
,4,1.0596683025360107,0
,5,1.6207830905914309,1
,6,1.5360419750213623,0
,7,0.8615198135375977,0
,8,1.3393704891204834,0
,9,1.0267798900604248,0
,10,1.7229228019714355,0
,0,1.6201701164245603,0
,1,1.8040237426757808,0
,2,1.1662535667419434,1
,3,0.7818520069122314,0
,4,0.8430061340332031,0
,5,0.6961007118225098,1
,6,0.8420188426971436,0
,7,2.008856296539306,0
,8,1.0105869770050049,1
,9,0.7559316158294678,1
,10,1.7742793560028076,0
,18,1.969996452331543,0
,20,1.870019674301148,0
,10,1.846058368682861,0
,2,1.33202862739563,0
,26,5.135049343109131,0
,3,1.2900080680847168,0
,23,2.053895950317383,1
,29,1.8193953037261963,0
,16,3.5904877185821533,0
,21,2.9212911128997803,0
,15,5.250055313110352,0
,12,2.5359537601470947,1
,9,1.7991514205932615,0
,25,2.525089263916016,0
,8,1.6677145957946775,1
,6,2.049245595932007,0
,7,1.5285077095031738,1
,24,4.320396184921265,1
,13,4.604253053665161,0
,19,3.306023359298706,0
,5,1.637732744216919,0
,27,3.3912057876586914,0
,14,1.9401330947875977,1
,0,2.5228381156921387,1
,28,5.225344181060791,1
,1,1.9480879306793213,0
,4,1.631201982498169,0
,22,3.1171348094940186,0
,17,4.724892139434815,1
,12,3.0721051692962646,1
,22,2.952042818069458,0
,4,1.2725365161895752,0
,1,1.2516181468963623,1
,6,0.9951517581939696,0
,18,1.5830471515655518,1
,29,2.0908877849578857,0
,0,0.7988216876983643,0
,24,3.2921853065490723,1
,19,2.203177690505981,0
,10,1.8619987964630127,0
,28,2.205127716064453,0
,5,1.274728536605835,0
,25,1.7440931797027588,0
,14,2.8911454677581787,1
,21,2.012752056121826,1
,8,1.742544651031494,0
,26,3.598361015319824,0
,17,2.0068347454071045,0
,9,1.801887273788452,0
,2,1.6319503784179688,0
,15,3.3000965118408203,0
,27,1.683572769165039,1
,16,1.59545636177063,0
,3,1.1879558563232422,0
,7,1.5832269191741943,0
,23,1.69504714012146,0
,13,2.702824354171753,0
,20,1.6921391487121582,0
,31,29.65403699874878,1
,18,29.94207453727722,1
,12,1.9239466190338133,0
,51,3.9095919132232666,1
,37,12.259486198425291,1
,61,2.269167423248291,1
,33,1.491530179977417,1
,5,4.891124963760376,1
,52,2.998570442199707,1
,24,4.920606374740601,1
,45,3.2682888507843018,1
,66,1.420858383178711,1
,64,2.269428253173828,1
,62,1.305257797241211,1
,49,7.800636053085327,1
,46,1.9695911407470703,1
,48,2.9436492919921875,1
,15,1.4022436141967771,1
,54,2.1706695556640625,1
,47,1.9829881191253664,1
,35,1.2979648113250732,1
,32,3.6818809509277344,1
,22,1.83687424659729,1
,6,4.4733726978302,1
,43,1.550981044769287,1
,57,1.527780532836914,1
,39,2.6453216075897217,1
,59,1.055692195892334,1
,17,1.9490067958831787,1
,60,1.672283411026001,1
,41,2.417419910430908,1
,55,1.4456729888916016,1
,30,3.418930768966675,1
,63,2.3537983894348145,1
,7,1.981261968612671,1
,28,1.895564079284668,1
,36,1.977029085159301,1
,40,2.59541130065918,1
,14,1.2251348495483398,1
,9,0.9209311008453368,1
,56,2.829944133758545,1
,58,1.50883150100708,1
,13,1.40199875831604,1
,4,1.884493589401245,1
,21,1.3092942237854004,1
,16,2.1891403198242188,1
,29,1.4922382831573486,0
,23,1.7890455722808838,1
,8,2.122810125350952,1
,11,1.164812088012695,1
,19,2.071507453918457,1
,34,1.2906341552734375,1
,1,1.5711302757263184,1
,44,2.132960081100464,1
,50,2.868336200714112,1
,25,1.6046702861785889,1
,3,1.914294958114624,1
,27,2.444785594940185,1
,20,1.092268705368042,1
,38,1.7124581336975098,1
,26,1.4054207801818848,1
,42,2.826794385910034,1
,65,1.397402286529541,1
,2,1.993992567062378,1
,53,2.67578125,1
,10,1.0289688110351562,1
,66,4.11885142326355,0
,53,2.860053777694702,0
,28,1.1778512001037598,0
,27,1.7391438484191897,0
,2,0.9795632362365724,0
,19,1.368441104888916,0
,47,1.0559906959533691,0
,29,1.343193292617798,0
,39,1.3697075843811035,0
,51,1.1630825996398926,0
,66,81.02714729309082,0
,53,1.4718496799468994,0
,28,1.1095740795135498,0
,27,1.2308716773986816,0
,2,0.6268858909606934,0
,19,0.9561047554016113,0
,47,0.5419325828552246,0
,29,0.9391796588897705,0
,39,1.1718254089355469,0
,51,0.7749865055084229,0
